Concept,CHILDES.count,CHILDES.freq.pm,CHILDES.ln_freq.pm
sled,66,28.767846962028184,3.359258338545784
slide,391,170.42769942656093,5.138311156504725
slippers,150,65.38147036824587,4.180238890615614
sneaker,64,27.896094023784908,3.3284866798790302
snow,489,213.14359340048156,5.36196608599423
snowman,236,102.86684671270685,4.633435401544968
snowsuit,6,2.615258814729835,0.9613630657474133
soap,153,66.6890997756108,4.200041517911794
socks,552,240.6038109551448,5.483151642796454
soda/pop,166,72.3554938741921,4.2815913848759015
sofa,54,23.537329332568515,3.158587643083633
soup,265,115.50726431723437,4.749333422505581
spaghetti,103,44.89527631952883,3.804332584748994
spoon,818,356.54695174150083,5.876465933122105
sprinkler,34,14.819799950135732,2.69596412113552
squirrel,189,82.3806526639898,4.411350611579
stairs,241,105.04622905831503,4.6544005300100135
star_(outside),441,192.2215228826429,5.258648471966205
stick,242,105.48210552743667,4.658541322676045
stone,123,53.61280570196162,3.981787951891776
store,479,208.78482870926516,5.341304193930274
story,918,400.13459865366474,5.9918009871398485
stove,103,44.89527631952883,3.804332584748994
strawberry,224,97.63632908324716,4.581249648374398
street,220,95.89282320676062,4.56323114287172
stroller,91,39.664758690069164,3.6804631030362085
sun,420,183.06811703108846,5.209858307796773
sweater,114,49.689917479866864,3.905802044913854
swing,250,108.96911728040979,4.691064514381605
table,1202,523.9235158842102,6.261345711614511
tape_(scotch),979,426.72306327008477,6.056135239049869
teacher,98,42.71589397392064,3.75457107518993
teddy_bear,58,25.280835209055073,3.230046607065778
telephone,387,168.68419355007435,5.12802828954914
tiger,283,123.3530407614239,4.8150504941625965
tights,16,6.974023505946227,1.9421923187591397
tissue/kleenex,410,178.70935233987205,5.185760756217712
toast,386,168.24831708095272,5.125440965984189
toe,492,214.45122280784648,5.368082313011667
tongue,221,96.32869967588226,4.567766298037111
tooth,602,262.39763441122676,5.5698610418281795
toothbrush,124,54.04868217108326,3.9898851621243954
towel,369,160.83841710588487,5.080400240559886
toy,1755,764.96320330847675,6.639827732419325
tractor,298,129.89118779824847,4.8666970830247624
train,1479,644.6612978309043,6.468725059230158
trash,102,44.459399850407195,3.7945764098036294
tray,119,51.86929982547506,3.9487270896308875
tree,1145,499.07855714427683,6.212763512507698
tricycle,42,18.306811703108846,2.9072732148027267
truck,1570,684.3260565209736,6.528434494861712
tummy,248,108.09736434216651,4.68303234268434
tuna,30,13.076294073649175,2.5708009781815138
turkey,236,102.86684671270685,4.633435401544968
turtle,343,149.50562890872226,5.007334043685298
TV,300,130.76294073649174,4.87338607117556
uncle,182,79.32951738013833,4.373610283596154
underpants,37,16.12742935750065,2.7805215091635826
vacuum,52,22.66557639432524,3.120847315100786
vagina,2,0.8717529382432784,-0.13724922292069633
vanilla,29,12.640417604527537,2.5368994265058324
vitamins,45,19.614441110473763,2.976266086289678
walker,9,3.9228882220947523,1.3668281738555776
washing_machine,6,2.615258814729835,0.9613630657474133
watch,784,341.72715179136515,5.834012616869766
water_(a_drink),1606,700.0176094093525,6.551105491026066
water_(found_outdoors),1606,700.0176094093525,6.551105491026066
wind,136,59.279199800542926,4.08225848225541
window,494,215.32297574608975,5.372139113707281
wolf,103,44.89527631952883,3.804332584748994
woods,196,85.43178794784129,4.447718255749876
work,581,253.24422855967234,5.53435435337127
yard,63,27.460217554663267,3.312738322910891
yogurt,366,159.53078769851996,5.072236929920725
zebra,174,75.84250562716521,4.328658895733887
zipper,54,23.537329332568515,3.158587643083633
zoo,380,165.6330582662229,5.109774849239789
