Questions,LemmaID,words,category,lexical_category,aoa,DF_aoa,Kuperman_aoa,words_FeatsVersion,words_FANversion,words_DaleFensonVersion,words_KupermanVersion,Freq_pm,Feats_check,FAN_check,DF_check
,drink,drink (beverage),food_drink,nouns,20.69680473,21,3.47,drink,drink,drink (food),drink,247.39,TRUE,TRUE,TRUE
,duck,duck,animals,nouns,16.44313951,16,3.5,duck,duck,duck,duck,24.76,TRUE,TRUE,TRUE
,egg,egg,food_drink,nouns,21.59203724,21,3.89,egg,egg,egg,egg,26.04,TRUE,TRUE,TRUE
,elephant,elephant,animals,nouns,22.14596716,22,4.8,elephant,elephant,elephant,elephant,11.37,TRUE,TRUE,TRUE
,eyes,eye,body_parts,nouns,16.66651257,16,3.75,eye,eye,eye,eye,111.78,TRUE,TRUE,TRUE
,face,face,body_parts,nouns,23.21965714,23,3.75,face,face,face,face,289.16,TRUE,TRUE,TRUE
,farm,farm,places,other,27.33528641,27,3.85,farm,farm,farm,farm,30.04,TRUE,TRUE,TRUE
,father,daddy*,people,other,-1.400334971,16,2.58,daddy,dad,daddy,dad,507.25,TRUE,TRUE,TRUE
,finger,finger,body_parts,nouns,21.31484453,21,3.43,finger,finger,finger,finger,36.67,TRUE,TRUE,TRUE
,fireman,fireman,people,other,27.18950284,27,5.16,fireman,firefighter,fireman,firefighter,1.02,TRUE,FALSE,TRUE
,fish,fish (animal),animals,nouns,18.44068124,18,4.05,fish_(the_animal),fish,fish (animal),fish,83.49,TRUE,TRUE,TRUE
,flag,flag,outside,nouns,25.74157049,26,5.33,flag,flag,flag,flag,17.49,TRUE,TRUE,TRUE
,flower,flower,outside,nouns,20.00169167,19,3.11,flower,flower,flower,flower,22.76,TRUE,TRUE,TRUE
,forest,woods,places,other,31.42251846,NA,4.93,woods,woods,woods,woods,29.06,TRUE,TRUE,TRUE
,fork,fork,household,nouns,21.5083592,21,3.63,fork,fork,fork,fork,8.82,TRUE,TRUE,TRUE
,frenchfries,french fries,food_drink,nouns,22.37999073,21,NA,french_fries,fries,french fries,fries,NA,TRUE,TRUE,TRUE
,friend,friend,people,other,26.12774197,27,3.57,friend,friend,friend,friend,419.29,TRUE,TRUE,TRUE
,frog,frog,animals,nouns,21.59177996,22,4.32,frog,frog,frog,frog,11.82,TRUE,TRUE,TRUE
,game,game,toys,nouns,25.5294148,27,4.26,game,game,game,game,233.84,TRUE,TRUE,TRUE
,gift,present,toys,nouns,24.66856983,23,4.83,present,present,present,present,89.45,TRUE,TRUE,TRUE
,giraffe,giraffe,animals,nouns,23.71163734,26,5,giraffe,giraffe,giraffe,giraffe,1.49,TRUE,TRUE,TRUE
,girl,girl,people,other,23.45264539,22,4,girl,girl,girl,girl,557.12,TRUE,TRUE,TRUE
,glass_1,glass,household,nouns,24.97289199,23,4.47,glass,glass,glass,glass,60.71,TRUE,TRUE,TRUE
,glasses,glasses,household,nouns,22.78042327,23,4.35,glasses,glasses,glasses,glasses,33.12,TRUE,TRUE,TRUE
,gloves,gloves,clothing,nouns,26.64476116,28,4.3,gloves,gloves,gloves,glove,10.1,TRUE,TRUE,TRUE
,grandfather,grandma*,people,other,17.19374519,18,2.58,grandma,grandma,grandma,grandma,45.59,TRUE,TRUE,TRUE
,grandmother,grandpa*,people,other,18.21394532,18,3.06,grandpa,grandpa,grandpa,grandpa,32.57,TRUE,TRUE,TRUE
,grapes,grapes,food_drink,nouns,21.59049325,21,3.94,grape,grape,grapes,grape,4,TRUE,TRUE,TRUE
,grass,grass,outside,nouns,22.92264727,22,3.94,grass,grass,grass,grass,16.78,TRUE,TRUE,TRUE
