Concept,definition,uni_lemma,Pronunciation,Num_Parts,MN_Toddler_Access,MN_Toddler_Access_No_Tax,Phon_1st,SUBTLEX_PM,LN_SUBTLEX,Length_Letters,Length_Phonemes,Length_Syllables,Bigram,Trigram,ColtheartN,Num_Feats_Tax,Num_Feats_No_Tax,Num_Disting_Feats_No_Tax,Disting_Feats_Percent_No_Tax,Mean_Distinct_No_Tax,Mean_CV_No_Tax,Density_No_Tax,Num_Corred_Pairs_No_Tax,Percent_Corred_Pairs_No_Tax,Num_Func,Num_Vis_Mot,Num_VisFandS,Num_Vis_Col,Num_Sound,Num_Taste,Num_Smell,Num_Tact,Num_Percep,Num_Ency,Num_Tax
teddy_bear,teddybear,teddybear,[tE][dI][bE@r*],55,5.23,4.99,t,NA,NA,9,7,3,85.08,3.98,0,11,9,4,44,0.452,0.473,49.11,1,3,2,0,1,1,0,0,0,3,5,2,2
telephone,telephone,telephone,[tE][lI][f@Un],30,4.38,4.38,t,344.76,5.84,9,7,3,337.53,125.99,0,12,12,7,58,0.58,0.592,0,0,0,3,0,6,0,1,0,0,0,7,2,0
tiger,tiger,tiger,[taI][g@r*],30,4.66,4.83,t,594.82,6.39,5,5,2,2726.76,56.6,1,24,19,4,21,0.294,0.27,1686.59,42,25,1,0,8,2,1,0,0,0,11,7,5
tights,tights,tights,[taIts],121,4.81,4.66,t,20.16,3,6,4,1,549.42,222.88,6,7,6,3,50,0.543,0.533,0,0,0,3,0,0,1,0,0,0,1,2,1,1
tissue/kleenex,tissue/kleenex,tissue,[tI][Su:],75,4.99,4.99,t,198.81,5.29,6,4,2,312.3,37.07,0,13,13,6,46,0.465,0.476,38.01,2,3,7,0,2,1,0,0,0,1,4,2,0
toast,toast,toast,[t@Ust],78,5.06,5.04,t,307.56,5.73,5,4,1,1081.33,192.56,3,10,8,4,50,0.514,0.483,41.24,1,4,0,0,3,1,0,0,0,1,5,3,2
toe,toe,toe,[t@U],64,4.42,4.42,t,301.72,5.71,3,2,1,721.31,NA,17,11,11,5,45,0.496,0.504,275.5,7,13,1,2,7,0,0,0,0,0,9,1,0
tongue,tongue,tongue,[tVN],55,4.92,4.9,t,552.84,6.32,6,3,1,423.17,107.56,0,15,14,7,50,0.58,0.573,70.03,3,3,5,1,4,2,0,0,0,0,7,2,1
tooth,tooth,tooth,[tu:T],57,4.56,4.56,t,867.31,6.77,5,3,1,912.81,68.96,1,13,13,9,69,0.646,0.652,0,0,0,5,0,1,1,0,0,0,1,3,5,0
toothbrush,toothbrush,toothbrush,[tu:T][brVS],60,4.45,4.63,t,63.82,4.16,10,7,2,39.96,NA,0,11,10,6,60,0.609,0.6,23.25,1,2,5,0,2,0,0,0,0,1,3,2,1
