Concept,definition,uni_lemma,Num_Func,Num_Vis_Mot,Num_VisFandS,Num_Vis_Col,Num_Sound,Num_Taste,Num_Smell,Num_Tact,Num_Percep,Num_Ency,Num_Tax,LemmaID,Sign,bglm_aoa_ASL,empirical_aoa_ASL,category,lexical_category,aoa,DF_aoa,CHILDES.count,CHILDES.freq.pm,CHILDES.ln_freq.pm,SignFrequency(Z)
butterfly,butterfly,butterfly,0,2,3,2,0,0,0,0,7,6,2,butterfly,BUTTERFLY,27,23,animals,nouns,22.54512234,23,351,152.99264066169533,5.030389819985224,-0.137
button,button,button,1,0,7,1,0,0,0,0,8,3,0,buttons,BUTTON,40,28,clothing,nouns,21.78850695,20,804,350.4446811737979,5.859202865698324,-0.677
cake,cake,cake,3,0,0,0,0,3,0,0,3,8,3,cake,CAKE,29,28,food_drink,nouns,21.63313802,22,468,203.9901875489271,5.318071892437005,-0.455
camera,camera,camera,2,0,4,0,0,0,0,0,4,5,1,camera,CAMERA,31,24,household,nouns,24.94613371,25,576,251.06484621406415,5.525711257215249,0.103
camping,camping,camping,0,0,0,0,0,0,0,0,0,10,0,camping,CAMPING,36,34,places,other,31.16263019,NA,12,5.23051762945967,1.6545102463073589,0.186
can,can (object),can (object),5,0,4,0,0,0,0,0,4,1,1,can,CAN,35,28,household,nouns,26.71063666,27,461,200.93905226507567,5.303001639516007,1.067
candy,candy,candy,2,0,0,1,0,5,0,3,9,3,0,candy_1,CANDY_1,28,22,food_drink,nouns,22.00849813,22,162,70.61198799770554,4.257199931751742,0.261
car,car,car,1,1,7,1,0,0,0,0,9,5,2,car,CAR,24,14,vehicles,nouns,16.93378021,16,3357,1463.2373068413428,7.288406593499393,1.361
carrot,carrots,carrots,4,0,4,2,0,0,0,1,7,5,2,carrot,CARROT,34,28,food_drink,nouns,23.27305918,23,391,170.4276994265609,5.138311156504725,-0.291
cat,cat,cat,0,2,8,0,2,0,0,0,12,3,5,cat,CAT,24,14,animals,nouns,17.27125582,18,1268,552.6913628462386,6.31479973151653,0.597
cereal,cereal,cereal,1,0,1,0,0,2,0,2,5,10,2,cereal,CEREAL,28,22,food_drink,nouns,21.55702474,22,395,172.1712053030475,5.14848936142048,0.472
chair,chair,chair,3,0,7,0,0,0,0,2,9,3,1,chair,CHAIR,26,23,furniture_rooms,nouns,20.32574972,19,2033,886.1368617242924,6.786871410147705,0.858
cheese,cheese,cheese,5,0,0,3,0,2,1,2,8,2,4,cheese,CHEESE,27,14,food_drink,nouns,17.66447363,17,689,300.31888722480943,5.7048448675330174,0.963
child,child,child,0,1,1,0,0,0,0,0,2,7,6,children,CHILDREN,40,23,people,other,31.01239879,NA,899,391.8529457403536,5.970886630990979,0.654
chocolate,chocolate,chocolate,0,1,0,1,0,3,0,0,5,2,5,chocolate,CHOCOLATE,29,22,food_drink,nouns,24.42716476,26,284,123.78891723054554,4.818577834680564,0.795
church,church*,church,2,0,2,0,0,0,0,0,2,7,2,church,CHURCH,46,28,places,other,26.47988803,26,39,16.99918229574393,2.8331652426490046,-0.662
clown,clown,clown,2,0,7,1,0,0,0,0,8,4,0,clown,CLOWN,39,34,people,other,26.43701835,23,405,176.5299699942639,5.1734906636258975,-0.692
coffee,coffee,coffee,3,0,1,2,0,1,1,0,5,6,3,coffee,COFFEE,29,23,food_drink,nouns,24.36227292,22,631,275.0380520157543,5.6169094590605715,1.236
comb,comb,comb (object),4,0,5,1,0,0,0,0,6,2,0,comb,COMB,32,19,household,nouns,24.30029974,23,179,78.02188797277341,4.356989402360114,-0.724
cookie,cookie,cookie,1,0,3,0,0,3,0,0,6,2,4,cookie,COOKIE,23,18,food_drink,nouns,17.583781,16,744,324.2920930264995,5.78164463135245,0.207
corn,corn,corn,3,0,5,1,0,1,0,0,7,2,1,corn_1,CORN_1,38,28,food_drink,nouns,23.45077759,23,180,78.45776444189505,4.362560447409568,0.187
country,country,country,1,0,2,0,0,0,0,0,2,5,2,country,COUNTRY,59,31,places,other,33.46246617,NA,57,24.844958739933432,3.212654864353909,-0.231
cow,cow,cow,3,4,5,3,1,0,1,0,14,3,2,cow,COW,26,26,animals,nouns,19.44727505,19,1141,497.3350512677903,6.209263946381434,-0.167
cracker,cracker,cracker,2,0,3,0,0,2,0,1,6,2,2,cracker,CRACKER,24,15,food_drink,nouns,18.61589503,17,266,115.943140786356,4.753099905301057,-0.334
daddy,daddy*,daddy,0,0,0,0,0,0,0,0,0,8,5,father,FATHER,20,14,people,other,10.190506289,16,5904,2573.414673694158,7.852988962799667,1.081
diaper,diaper,diaper,3,0,3,1,0,0,1,0,5,2,0,diaper,DIAPER,26,15,clothing,nouns,18.90023005,19,718,312.95930482933693,5.746073165567583,-0.241
doctor,doctor,doctor,1,0,1,0,0,0,0,0,1,8,1,doctor,DOCTOR,36,28,people,other,24.15870774,23,252,109.84087021865308,4.699032684030781,0.059
dog,dog,dog,1,2,6,0,1,0,0,1,10,3,4,dog,DOG,25,14,animals,nouns,13.0174018,16,1628,709.6068917300286,6.564711143081844,1.189
doll,doll,doll,4,0,4,0,0,0,0,0,4,2,3,doll,DOLL,31,23,toys,nouns,21.49325513,20,561,244.52669917723955,5.499324502042055,-0.581
door,door,door,6,0,7,0,0,0,0,0,7,0,0,door,DOOR,30,28,furniture_rooms,nouns,19.664695,19,1233,537.4356864269811,6.286809099683703,1.233
drawer_(the_furniture),drawer,drawer,5,0,2,0,0,0,0,0,2,1,0,drawer,DRAWER,37,27,furniture_rooms,nouns,26.73544663,26,151,65.81734683736751,4.186883433334282,-0.974
dress,dress (object),dress (object),2,0,2,1,0,0,0,0,3,4,1,dress,DRESS,32,28,clothing,nouns,24.87809734,23,335,146.01861715574913,4.983734128344425,0.375
drink,drink (beverage),drink (beverage),3,0,2,0,0,0,0,1,3,4,6,drink,DRINK,21,14,food_drink,nouns,20.69680473,21,378,164.7613053279796,5.104497792138946,1.068
duck,duck,duck,2,4,6,0,1,0,0,0,11,4,3,duck,DUCK,25,16,animals,nouns,16.44313951,16,1622,706.9916329152987,6.561018831194716,-0.454
ear,ear,ear,3,0,7,0,0,0,0,0,7,2,1,ear,EAR,27,16,body_parts,nouns,17.66627563,17,594,258.91062265825366,5.556482915882003,-0.797
egg,egg,egg,4,0,3,3,0,0,0,0,6,7,1,egg,EGG,28,23,food_drink,nouns,21.59203724,21,1120,488.1816454162359,6.190687560808499,0.772
elephant,elephant,elephant,2,1,6,1,0,0,0,1,9,3,2,elephant,ELEPHANT,26,18,animals,nouns,22.14596716,22,757,329.95848712508086,5.798966849956807,-0.319
eye,eye,eye,1,0,5,4,0,0,0,0,9,2,0,eyes,EYES,26,16,body_parts,nouns,16.66651257,16,1288,561.4088922286712,6.330449503183657,0.307
face,face,face,2,1,9,0,0,0,0,0,10,2,0,face,FACE,29,26,body_parts,nouns,23.21965714,23,891,388.3659339873805,5.961948023990168,0.454
farm,farm,farm,3,0,3,0,0,0,0,0,3,9,0,farm,FARM,36,34,places,other,27.33528641,27,271,118.1225231319642,4.771722417399059,-0.635
fireman,fireman,firefighter,0,0,2,0,0,0,0,0,2,12,0,fireman,FIREFIGHTER,32,14,people,other,27.18950284,27,89,38.79300575182589,3.6582399662514984,-0.559
fish_(the_animal),fish (animal),fish (animal),1,1,3,1,0,0,0,0,5,6,1,fish,FISH,25,15,animals,nouns,18.44068124,18,824,359.16221055623066,5.88377412642883,0.305
flag,flag,flag,0,1,5,4,0,0,0,0,10,3,1,flag,FLAG,33,28,outside,nouns,25.74157049,26,48,20.92207051783868,3.0408046074272495,-0.62
flower,flower,flower,2,0,3,2,0,0,2,0,7,10,3,flower,FLOWER,26,14,outside,nouns,20.00169167,19,824,359.16221055623066,5.88377412642883,0.494
fork,fork,fork,1,0,8,0,0,0,0,1,9,3,1,fork,FORK,29,26,household,nouns,21.5083592,21,140,61.022705677029485,4.111246019128663,0.237
french_fries,french fries,french fries,3,0,1,0,0,3,0,2,6,5,2,frenchfries,FRENCH-FRIES,31,22,food_drink,nouns,22.37999073,21,1,0.4358764691216392,-0.8303964034806417,0.325
friend,friend,friend,1,0,0,0,0,0,0,0,0,7,3,friend,FRIEND,30,28,people,other,26.12774197,27,710,309.4722930763638,5.734868566554719,1.324
frog,frog,frog,0,5,3,1,1,0,0,0,10,4,2,frog,FROG,27,28,animals,nouns,21.59177996,22,479,208.78482870926516,5.341304193930274,-0.802
game,game,game,1,0,0,0,0,0,0,0,0,6,4,game,GAME,33,23,toys,nouns,25.5294148,27,406,176.9658464633855,5.175956756121091,0.933
garbage,garbage,garbage,0,3,1,0,0,0,2,0,6,5,2,trash,TRASH,30,19,household,nouns,25.7297666,23,250,108.9691172804098,4.691064514381605,0.446
giraffe,giraffe,giraffe,0,1,5,3,0,0,0,0,9,3,2,giraffe,GIRAFFE,29,28,animals,nouns,23.71163734,26,233,101.55921730534192,4.620642050085059,-0.749
girl,girl,girl,0,1,1,0,0,0,0,0,2,4,5,girl,GIRL,30,22,people,other,23.45264539,22,1911,832.9599324914524,6.724985540759631,0.16
glass,glass,glass,3,1,0,3,0,0,0,1,5,3,0,glass_1,CUP,29,22,household,nouns,24.97289199,23,396,172.60708177216912,5.151017807773839,0.742
glasses,glasses,glasses,5,0,5,0,0,0,0,0,5,3,0,glasses,GLASSES,31,30,household,nouns,22.78042327,23,396,172.60708177216912,5.151017807773839,-0.555
gloves,gloves,gloves,5,0,4,0,0,0,0,0,4,3,2,gloves,GLOVES,30,28,clothing,nouns,26.64476116,28,100,43.58764691216391,3.7747737825074497,-0.521
